Kp:	0.2	Ki:	0	Kd:	0.4
cte	steer_value
0.0803	-0.02922	19.2289
0.1132	-0.0358	19.5736
0.1454	-0.04196	19.2359
0.1665	-0.04174	19.2381
0.1973	-0.05178	19.5819
0.2269	-0.05722	19.2447
0.2553	-0.06242	19.5881
0.2732	-0.0618	19.5901
0.2985	-0.06982	19.2528
0.3221	-0.07386	19.5962
0.3434	-0.0772	19.2587
0.3625	-0.08014	19.6021
0.3739	-0.07934	19.604
0.3887	-0.08366	19.2669
0.401	-0.08512	19.6106
0.4106	-0.08596	19.2719
0.4174	-0.0862	19.6166
0.4229	-0.08678	19.2769
0.4539	-0.10318	19.6235
0.4903	-0.11262	19.6257
0.5592	-0.1394	19.2826
0.6276	-0.15288	19.6312
0.6907	-0.16338	19.2836
0.7298	-0.1616	19.2828
0.7831	-0.17794	19.6328
0.83	-0.18476	19.2837
0.8576	-0.18256	19.2836
0.8932	-0.19288	19.6347
0.9215	-0.19562	19.286
0.9425	-0.1969	19.6377
0.9523	-0.19438	19.6388
0.9607	-0.1955	19.2902
0.9616	-0.19268	19.6435
0.9582	-0.19028	19.6451
0.9514	-0.18756	19.6474
0.9355	-0.18074	19.2995
0.9123	-0.17318	19.6519
0.8826	-0.16464	19.3078
0.8591	-0.16242	19.3114
0.8187	-0.14758	19.6602
0.7886	-0.14568	19.6624
0.739	-0.12796	19.3212
0.6839	-0.11474	19.6694
0.6446	-0.1132	19.672
0.5826	-0.09172	19.3319
0.5162	-0.07668	19.6787
0.4471	-0.06178	19.3406
0.3871	-0.05342	19.6845
0.3605	-0.06146	19.349
0.3658	-0.07528	19.3518
0.3829	-0.08342	19.6908
0.3976	-0.0854	19.359
0.4058	-0.08444	19.361
0.4156	-0.08704	19.6956
0.4206	-0.08612	19.697
0.4256	-0.08712	19.3688
0.4276	-0.08632	19.7012
0.4273	-0.08534	19.7026
0.4245	-0.08378	19.3763
0.4188	-0.08148	19.7072
0.4134	-0.08052	19.7088
0.4033	-0.07662	19.3843
0.3903	-0.07286	19.7138
0.3803	-0.07206	19.7157
0.3635	-0.06598	19.391
0.3443	-0.06118	19.721
0.3303	-0.06046	19.7228
0.3079	-0.05262	19.3978
0.2864	-0.04868	19.7281
0.2975	-0.06394	19.7299
0.3074	-0.06544	19.4049
0.3423	-0.08242	19.7345
0.3656	-0.08244	19.736
0.3983	-0.09274	19.4107
0.4282	-0.0976	19.7395
0.4464	-0.09656	19.7405
0.4707	-0.10386	19.4156
0.4918	-0.1068	19.744
0.5038	-0.10556	19.745
0.5187	-0.1097	19.4205
0.5298	-0.1104	19.7486
0.5351	-0.10914	19.7498
0.5398	-0.10984	19.4265
0.5407	-0.1085	19.4273
0.5389	-0.10706	19.7553
0.5334	-0.10448	19.4312
0.5275	-0.10314	19.4325
0.5157	-0.09842	19.7619
0.5003	-0.0939	19.4363
0.4814	-0.08872	19.7671
0.467	-0.08764	19.7688
