Kp:	0.1	Ki:	0	Kd:	0.4
cte	steer_value
0.2106	-0.02194	10.5552
0.2137	-0.02261	10.5628
0.2168	-0.02292	10.5704
0.2198	-0.02318	10.5779
0.2228	-0.02348	10.5854
0.2256	-0.02368	10.5929
0.2283	-0.02391	10.6003
0.2301	-0.02373	10.6052
0.2327	-0.02431	10.6125
0.2352	-0.02452	10.6198
0.2377	-0.02477	10.627
0.2392	-0.02452	10.6318
0.2415	-0.02507	10.639
0.2437	-0.02525	10.6461
0.2457	-0.02537	10.6532
0.2477	-0.02557	10.6602
0.2489	-0.02537	10.6649
0.2507	-0.02579	10.6718
0.2524	-0.02592	10.6787
0.2534	-0.02574	10.6833
0.2554	-0.02634	10.6924
0.2567	-0.02619	10.6992
0.2575	-0.02607	10.7037
0.2587	-0.02635	10.7105
0.2597	-0.02637	10.7171
0.2606	-0.02642	10.7238
0.2614	-0.02646	10.7303
0.2619	-0.02639	10.7347
0.2625	-0.02649	10.7412
0.263	-0.0265	10.7477
0.2633	-0.02645	10.752
0.2636	-0.02648	10.7584
0.2637	-0.02641	10.7627
0.2638	-0.02642	10.769
0.2638	-0.02638	10.7754
0.2637	-0.02633	10.7816
0.2636	-0.02632	10.7858
0.2633	-0.02621	10.792
0.263	-0.02618	10.7961
0.2625	-0.02605	10.8023
0.2619	-0.02595	10.8084
0.2612	-0.02584	10.8145
0.2607	-0.02587	10.8185
0.2598	-0.02562	10.8245
0.2588	-0.02548	10.8304
0.2577	-0.02533	10.8364
0.257	-0.02542	10.8403
0.2557	-0.02505	10.8462
0.2544	-0.02492	10.852
0.2534	-0.02494	10.8559
0.2519	-0.02459	10.8617
0.2503	-0.02439	10.8674
0.2487	-0.02423	10.8731
0.2469	-0.02397	10.8788
0.2457	-0.02409	10.8825
0.2438	-0.02362	10.8881
0.2419	-0.02343	10.8937
0.2405	-0.02349	10.8974
0.2384	-0.023	10.9029
0.2363	-0.02279	10.9084
0.2341	-0.02253	10.9139
0.2326	-0.02266	10.9175
0.2302	-0.02206	10.9229
0.2287	-0.02227	10.9264
0.2263	-0.02167	10.9318
0.2246	-0.02178	10.9353
0.2221	-0.02121	10.9406
0.2196	-0.02096	10.9458
0.217	-0.02066	10.9511
0.2144	-0.0204	10.9562
0.2118	-0.02014	10.9614
0.2104	-0.02048	10.9648
0.2101	-0.02089	10.9699
0.2124	-0.02216	10.975
0.2165	-0.02329	10.98
0.2206	-0.0237	10.985
0.2247	-0.02411	10.9883
0.2325	-0.02637	10.9933
0.2419	-0.02795	10.9982
0.2524	-0.02944	11.0031
0.2593	-0.02869	11.0063
0.2695	-0.03103	11.0111
0.2795	-0.03195	11.0159
0.2892	-0.0328	11.0207
0.2956	-0.03212	11.0239
0.3019	-0.03271	11.027
0.311	-0.03474	11.0317
0.32	-0.0356	11.0364
0.3259	-0.03495	11.0395
0.3372	-0.03824	11.0457
0.3426	-0.03642	11.0487
0.3505	-0.03821	11.0533
0.3582	-0.0389	11.0578
0.3655	-0.03947	11.0624
0.3726	-0.0401	11.0669
0.3771	-0.03951	11.0698
0.3835	-0.04091	11.0743
0.3897	-0.04145	11.0787
0.3955	-0.04187	11.0831
0.401	-0.0423	11.0874
0.4044	-0.0418	11.0903
0.4093	-0.04289	11.0946
0.4139	-0.04323	11.0989
0.4167	-0.04279	11.1017
0.4207	-0.04367	11.106
0.4243	-0.04387	11.1102
0.4264	-0.04348	11.113
0.4294	-0.04414	11.1172
0.432	-0.04424	11.1213
0.4343	-0.04435	11.1255
0.4361	-0.04433	11.1296
0.4372	-0.04416	11.1323
0.4384	-0.04432	11.1363
0.4393	-0.04429	11.1404
0.4399	-0.04423	11.1444
0.44	-0.04404	11.147
0.4399	-0.04395	11.151
0.4395	-0.04379	11.1549
0.4387	-0.04355	11.1589
0.4379	-0.04347	11.1615
0.4366	-0.04314	11.1653
0.4348	-0.04276	11.1692
0.4327	-0.04243	11.173
0.4312	-0.04252	11.1756
0.4285	-0.04177	11.1794
0.4256	-0.0414	11.1831
0.4234	-0.04146	11.1856
0.4199	-0.04059	11.1889
0.4161	-0.04009	11.1928
0.4134	-0.04026	11.1783
0.4092	-0.03924	11.1822
0.4046	-0.03862	11.1858
0.4014	-0.03886	11.0764
0.3964	-0.03764	11.1857
0.3911	-0.03699	11.2099
0.3874	-0.03726	11.185
0.3817	-0.03589	11.2129
0.3758	-0.03522	11.2202
0.3696	-0.03448	11.275
0.3653	-0.03481	11.2248
0.3588	-0.03328	11.2955
0.352	-0.03248	11.2482
0.3474	-0.0329	11.3213
0.3404	-0.03124	11.2648
0.3331	-0.03039	11.2516
0.3281	-0.03081	11.2958
0.3206	-0.02906	11.2594
0.313	-0.02826	11.0541
0.3078	-0.0287	11.2677
0.2999	-0.02683	10.9902
0.2919	-0.02599	11.1602
0.2865	-0.02649	11.2707
0.2783	-0.02455	11.0938
0.27	-0.02368	11.234
0.2616	-0.0228	11.2611
0.256	-0.02336	11.1838
0.2476	-0.0214	11.2514
0.2413	-0.02161	11.2733
0.2388	-0.02288	11.2408
0.2385	-0.02373	11.2776
0.2453	-0.02725	11.3928
0.2447	-0.02423	11.3077
0.2515	-0.02787	11.0226
