Kp:	0.3	Ki:	0.0075	Kd:	0.6
cte	steer_value
1.6634	-0.304312	47.9116
1.6212	-0.17517	46.4502
1.5559	-0.206432	46.0514
1.4266	0.0245481	46.1746
1.4299	-0.714798	46.2853
1.4898	-0.676524	46.4568
1.5258	-0.426347	45.5689
1.5086	-0.241095	44.6439
1.4238	-0.0662837	43.203
1.3339	-0.203021	42.6771
1.2233	-0.123055	42.8313
1.072	0.0269512	43.0595
1.1336	-1.01484	43.216
1.2417	-0.745976	43.4443
1.3601	-0.667163	42.5006
1.4042	-0.32092	41.5732
1.4183	-0.371374	40.6848
1.3923	-0.282652	39.218
1.345	-0.288215	39.0164
1.2326	-0.0476576	39.0474
1.131	-0.23884	39.0897
1.0139	-0.140868	39.2648
0.805	0.25851	39.4745
0.6754	-0.284823	39.6199
0.6576	-0.600271	39.6737
0.6594	-0.409633	39.6778
0.6452	-0.270568	39.1964
0.5869	-0.102377	37.7391
0.5262	-0.189643	37.4709
0.411	0.0527722	37.7398
0.3178	-0.156878	37.9188
0.217	-0.0644251	38.1288
0.0463	0.256541	38.4286
-0.0738	-0.107414	38.653
-0.0914	-0.443221	38.7657
-0.071	-0.360539	38.9086
-0.0634	-0.195468	38.8374
-0.0818	-0.0999317	38.6719
-0.1112	-0.109512	38.7316
-0.1507	-0.0889064	38.9181
-0.2276	0.0624081	39.2494
-0.2902	-0.0777019	39.478
-0.3575	-0.0169476	39.7178
-0.4701	0.193804	40.0905
-0.5525	-0.0280086	40.365
-0.6338	0.0474151	40.5417
-0.7167	0.0802886	40.8975
-0.6522	-0.573209	41.1743
-0.5761	-0.286932	41.4224
-0.4795	-0.336197	40.593
-0.4313	-0.0800452	39.7474
-0.3853	-0.187868	38.9172
-0.3678	-0.0801266	39.0512
-0.3603	-0.105359	39.2325
-0.3613	-0.0961811	39.4327
-0.3783	-0.0445679	39.7739
-0.3999	-0.0587719	39.9981
-0.4283	-0.036455	40.2514
-0.4831	0.0730896	40.6497
-0.5218	-0.0516381	40.9208
-0.5444	-0.0824869	41.1749
-0.5654	-0.0425793	41.4282
-0.6064	0.0614313	41.7895
-0.6394	-0.0115528	42.0413
-0.6912	0.0975412	42.4198
-0.7271	-0.00541829	42.693
-0.7619	0.0332534	42.9409
-0.8136	0.124828	43.3473
-0.8473	0.0164826	43.6333
-0.8772	0.0482109	43.8524
-0.9042	0.0562682	44.0864
-0.9389	0.107613	44.4832
0.9412	-8.58825	44.7324
-0.8406	12.1983	44.9482
-0.7553	-4.22965	44.5114
-0.618	-0.739255	43.0026
-0.5259	-0.127916	42.0107
-0.4416	-0.179822	41.0729
-0.3269	-0.356524	39.5738
-0.2578	-0.100259	39.7822
-0.1999	-0.163866	39.78
-0.1274	-0.275306	39.9987
-0.0882	-0.105838	40.1851
-0.0606	-0.136587	40.2642
-0.0365	-0.159462	40.5128
-0.0313	-0.0892131	40.7113
-0.0359	-0.0912779	40.8814
-0.0591	-0.0328214	41.1941
-0.0848	-0.063089	41.4217
-0.1172	-0.0371891	41.6762
-0.1563	-0.0168368	41.9417
-0.2263	0.114176	42.3424
-0.2794	-0.0229013	42.6256
-0.3334	0.0262418	42.8571
-0.4185	0.179548	43.2388
-0.4777	0.0062254	43.5197
-0.5335	0.059155	43.7028
-0.6141	0.196906	44.0623
-0.6658	0.0257438	44.3321
-0.7107	0.0709306	44.4889
-0.7692	0.16519	44.8162
-0.8024	0.0339705	45.068
-0.8273	0.0630501	45.241
-0.8453	0.0639528	45.4402
-0.8599	0.0734627	45.8065
-0.8606	0.0259538	46.0396
-0.8536	0.0280727	46.2664
-0.8396	0.0191757	46.5104
-0.8189	0.00755388	46.7762
-0.7757	-0.0780465	47.18
-0.7395	0.00309508	47.4561
-0.6915	-0.066656	47.7025
-0.641	-0.0576038	47.9473
-0.5603	-0.193723	48.3106
-0.5047	-0.020931	48.5341
-0.4521	-0.0695269	48.6841
-0.4008	-0.0834499	48.8552
-0.3265	-0.200105	49.201
-0.28	-0.0327653	49.4078
-0.24	-0.0724631	49.5407
-0.2047	-0.0782869	49.6994
-0.16	-0.139703	50.0315
-0.1365	-0.0302184	50.2361
-0.1202	-0.0499707	50.4056
-0.1096	-0.0477873	50.5938
-0.1034	-0.0446532	50.9431
-0.1059	-0.0176382	51.1696
-0.1135	-0.015181	51.3976
-0.1255	-0.00718752	51.6373
-0.1413	0.00125727	51.8914
-0.1711	0.0583765	52.2802
-0.1942	0.000329198	52.5434
-0.2178	0.0208039	52.7829
-0.2419	0.0282754	53.0167
-0.2661	0.0330352	53.2714
-0.3196	0.171258	53.6299
-0.3916	0.19719	53.8624
-0.5495	0.552647	54.0173
-0.6977	0.333322	54.0813
-0.8279	0.28844	53.3733
-0.9814	0.465183	51.677
-1.0556	0.0866551	51.553
-1.1016	0.160323	51.3738
-1.1241	0.148423	51.354
-1.1246	0.119461	51.5039
-1.2234	0.62702	51.6905
-1.3699	0.638813	51.8298
-1.4857	0.400899	51.3554
-1.5654	0.326615	50.396
-1.6088	0.273517	49.4984
-1.6175	0.223752	48.1509
-1.5906	0.159769	48.1137
-1.5334	0.114789	48.1516
-1.4482	0.0618599	48.2519
-1.3369	0.00543394	48.4074
-1.1263	-0.393557	48.7198
-0.9604	0.0140534	48.968
-0.8423	0.116853	48.9834
-0.9294	0.908359	49.039
-1.0298	0.493046	49.2396
-1.1398	0.487415	48.2295
-1.1817	0.174989	47.3072
-1.1965	0.223332	46.1402
-1.1885	0.204394	45.7637
-1.1343	0.0580179	45.8785
-1.1691	0.570126	45.9538
-1.337	0.983734	46.12
-1.5051	0.689964	45.6894
-1.6967	0.806571	44.1584
-1.782	0.309187	43.233
-1.8316	0.417077	42.2881
-1.8502	0.397533	41.4769
-1.8216	0.27585	40.4574
-1.7644	0.265951	40.3465
-1.6812	0.221139	40.3421
-1.6514	0.521814	40.3969
-1.7472	0.971374	40.5382
-1.8	0.49375	39.9475
-1.8208	0.441952	38.8861
-1.8098	0.390507	38.0535
-1.7388	0.20498	36.987
-1.657	0.297769	36.8943
-1.5524	0.222729	36.9638
-1.3527	-0.165807	37.0647
-1.1928	0.211673	37.1598
-1.022	0.0608502	37.2607
-0.7371	-0.465966	37.4496
-0.5288	0.101865	37.6646
-0.3279	-0.0613276	37.5969
-0.1062	-0.223333	37.7664
0.035	0.146833	38.0155
0.2465	-0.385959	38.2113
0.3926	0.0206983	38.3357
0.5346	-0.132457	38.3065
0.7478	-0.505987	38.5976
0.8901	-0.0608733	38.8363
1.0801	-0.461946	38.3487
1.1941	-0.0570592	38.3168
