Kp:	0.3	Ki:	0.0075	Kd:	0.6
cte	steer_value
-0.4388	-0.0174776	48.7065
-0.4615	-0.035335	48.7485
-0.5095	0.054683	48.8098
-0.5355	-0.0965222	48.8715
-0.5534	-0.079347	48.9076
-0.578	-0.0204256	48.9439
-0.6287	0.0908843	49.0015
-0.6703	-0.00133573	49.0415
-0.714	0.0350133	49.0736
-0.7839	0.161272	49.1319
-0.8325	0.0185469	49.1703
-0.8987	0.156107	49.2041
-0.9385	0.0143466	49.2415
-0.9547	-0.0222409	49.2685
-0.8547	-0.482076	49.3256
-0.7213	-0.369351	49.3823
-0.6381	-0.0622031	49.3009
-0.539	-0.258294	49.236
-0.4864	-0.0355805	49.2691
-0.4321	-0.159249	49.2943
-0.4026	-0.0602637	49.3504
-0.3981	-0.0100541	49.4011
-0.4177	0.035888	49.4597
-0.4414	-0.00252837	49.4976
-0.4708	0.0146831	49.5322
-0.5055	0.0313859	49.5693
-0.5656	0.141389	49.6246
-0.6093	0.0192744	49.6608
-0.6716	0.148086	49.6958
-0.7108	0.016392	49.7312
-0.7603	0.124572	49.7696
-0.7872	0.01413	49.8052
-0.8151	0.0786013	49.8508
-0.8258	0.0108175	49.8868
-0.8296	0.0255257	49.9217
-0.8242	0.00730931	49.9765
-0.8134	0.00826916	50.0127
-0.7872	-0.0459088	50.0669
-0.7496	-0.0620046	50.1206
-0.704	-0.0725724	50.1723
-0.671	-3.60691e-05	50.206
-0.6203	-0.112198	50.2559
-0.585	-0.0100482	50.2901
-0.5295	-0.139451	50.3353
-0.49	-0.0303361	50.3689
-0.437	-0.131463	50.4101
-0.4059	-0.0113918	50.4436
-0.3688	-0.0924815	50.4874
-0.3494	-0.00770628	50.5202
-0.3347	-0.0298432	50.5524
-0.3192	-0.049519	50.602
-0.3127	-0.00973359	50.6354
-0.3097	-0.0151705	50.6686
-0.3102	-0.00873105	50.7181
-0.3133	-0.00478564	50.7511
-0.3214	0.0127634	50.8002
-0.3286	-0.00097739	50.8327
-0.3403	0.0231583	50.8807
-0.3484	-0.000235018	50.9129
-0.3595	0.0238844	50.9601
-0.3659	-0.000453624	50.992
-0.3728	0.015004	51.0388
-0.3755	-0.00165483	51.0705
-0.3761	0.00065809	51.1174
-0.3742	-0.00337431	51.1486
-0.3719	0.00224651	51.1954
-0.4404	0.32593	51.2419
-0.567	0.436742	51.2726
-0.7351	0.499977	51.2107
-0.8577	0.217622	51.0999
-0.9051	0.00162758	51.013
-0.9286	0.0917627	51.0428
-0.9188	0.0204941	51.0732
-0.8711	-0.0651517	51.1223
-1.0022	0.837028	51.1721
-1.1838	0.679483	51.2133
-1.3189	0.353857	50.967
-1.3708	0.104513	50.7821
-1.4023	0.231981	50.7301
-1.3765	0.0483724	50.7829
-1.3254	0.0748411	50.8008
-1.2044	-0.175615	50.854
-1.0352	-0.241484	50.9037
-0.9862	0.403763	50.9179
-1.1515	1.09642	50.9159
-1.3678	0.833733	50.775
-1.5294	0.46762	50.5065
-1.6265	0.327514	50.1853
-1.639	0.130489	50.0385
-1.7386	0.747867	50.0377
-1.9433	1.06155	50.0803
-2.1854	1.0132	49.8574
-2.3201	0.469946	49.5656
-2.3444	0.248624	49.3483
-2.2838	0.158347	49.285
-2.118	-0.097844	49.3567
-2.0006	0.365614	49.4057
-2.0318	0.932375	49.4435
-2.0716	0.625502	49.4059
-2.051	0.316922	49.1357
-1.9242	-0.0222715	48.9119
-1.6965	-0.234185	48.9378
-1.3933	-0.353301	48.9994
-1.0449	-0.41079	48.9915
-0.6785	-0.431474	48.9383
-0.4226	0.0554071	48.8851
-0.3105	0.403416	48.8533
-0.145	-0.220691	48.8598
0.0371	-0.230243	48.7241
0.2231	-0.235526	48.7376
0.3949	-0.194257	48.7715
0.5455	-0.164823	48.8095
0.5973	0.199874	48.861
0.5426	0.43273	48.9183
0.4795	0.207503	48.9011
0.4331	0.0997583	48.7803
0.4117	0.0296163	48.7977
0.4096	0.00673226	48.8357
0.4206	-0.00304466	48.8972
0.4148	0.1047	48.9582
0.39	0.153571	48.9986
0.3646	0.11154	49.0687
0.3738	-0.0473473	49.1114
0.3949	-0.0230125	49.1468
0.4411	-0.10754	49.2021
0.5011	-0.118321	49.2603
0.5459	-0.024873	49.2931
0.6144	-0.175884	49.342
0.6851	-0.147804	49.3984
0.7506	-0.130656	49.4365
0.7877	-0.0286105	49.4684
0.8323	-0.140856	49.5199
0.8663	-0.0922164	49.575
0.8811	-0.0389238	49.6079
0.8839	-0.038038	49.663
0.8706	-0.00114015	49.7193
0.8461	0.00817549	49.7754
0.813	0.0188268	49.83
