Kp:	0.3	Ki:	0.0075	Kd:	0.6
cte	steer_value
-0.2162	-0.00856346	44.2685
-0.2255	0.0137213	44.2985
-0.2328	0.00397683	44.3288
-0.2374	-0.00154467	44.3583
-0.2386	-0.00844579	44.3782
-0.2378	-0.00779197	44.4078
-0.2358	-0.00705564	44.4275
-0.2305	-0.0182381	44.4569
-0.2227	-0.0216436	44.4861
-0.2127	-0.025694	44.5151
-0.2013	-0.0274046	44.5439
-0.1931	-0.0105149	44.563
-0.1805	-0.0385842	44.5914
-0.1672	-0.0336623	44.6196
-0.1539	-0.0331057	44.6475
-0.1456	-0.0121728	44.6661
-0.1341	-0.0395506	44.6938
-0.1232	-0.0319097	44.7214
-0.1136	-0.0285041	44.7487
-0.1082	-0.0139999	44.7669
-0.1016	-0.0302713	44.7941
-0.0961	-0.0241527	44.8212
-0.092	-0.0209278	44.848
-0.0896	-0.0171654	44.8748
-0.0885	-0.0157017	44.9014
-0.0884	-0.0144741	44.9279
-0.0892	-0.0127274	44.9542
-0.09	-0.0145889	44.9716
-0.0932	-0.00340173	44.9976
-0.1666	0.310391	45.0235
-0.3816	0.800824	45.049
0.7167	-5.46484	44.9754
0.0612	5.36207	44.7175
0.0772	-1.45996	44.554
0.2153	-0.747442	44.1962
0.3751	-0.479685	43.9127
0.4796	-0.176948	43.6931
0.6186	-0.479273	43.5104
0.7381	-0.348091	43.5264
0.8009	-0.156654	43.457
0.8624	-0.303286	43.4403
0.8911	-0.183778	43.4767
0.8828	-0.103544	43.4858
0.837	-0.0291968	43.5222
0.7595	0.0237146	43.5618
0.6938	-0.100891	43.5852
0.5808	0.144777	43.6138
0.4486	0.140986	43.6463
0.3549	-0.0647137	43.6475
0.214	0.252664	43.5928
0.1189	-0.0337553	43.5231
-0.0132	0.251662	43.6207
-0.1792	0.351289	43.5304
-0.2872	0.0336279	43.6711
-0.3643	0.0452825	43.6071
-0.401	-0.0381237	43.6204
-0.4399	0.082897	43.649
-0.4614	0.0162134	43.6814
-0.3952	-0.334436	43.7196
-0.3209	-0.171261	43.7451
-0.2161	-0.286105	43.6694
-0.1234	-0.175144	43.683
-0.0495	-0.129515	43.6708
0.0031	-0.0931207	43.6983
